Pedigree,Range,Row,Rep,Grain Yield (BuA),Grain Yield (t/ha),PlantingDate,Management,Label,Data,Flight,Management,Pedigree,DTA,DTS,PHT,FHT,EHT
2369/3IIH6,6,319,1,156.7914197,9.837232568,3/3/2017,OI,48_OI,0.790952,48,OI,2369/3IIH6,65,66,94,72,43
2369/LH123HT,3,257,1,144.5569714,9.069632444,3/3/2017,OI,48_OI,0.97786,48,OI,2369/LH123HT,68,69,92,76,46
2369/LH123HT,3,277,1,191.3274546,12.00405399,3/3/2017,OI,48_OI,1.019,48,OI,2369/LH123HT,68,69,97,80,49
2369/LH123HT,3,289,1,173.8808893,10.90944103,3/3/2017,OI,48_OI,1.03669,48,OI,2369/LH123HT,68,69,100,82,50
2369/LH123HT,3,305,1,158.5272265,9.94613862,3/3/2017,OI,48_OI,0.95916,48,OI,2369/LH123HT,70,70,95,78,48
2369/LH123HT,4,319,1,165.2890867,10.37038372,3/3/2017,OI,48_OI,0.95574,48,OI,2369/LH123HT,69,73,97,77,44
2369/LH123HT,4,315,1,163.9410529,10.28580689,3/3/2017,OI,48_OI,0.96201,48,OI,2369/LH123HT,70,70,100,77,41
2369/LH123HT,4,281,1,196.23054,12.31167791,3/3/2017,OI,48_OI,1.064,48,OI,2369/LH123HT,69,70,97,84,47
2369/LH123HT,4,277,1,194.9731228,12.23278644,3/3/2017,OI,48_OI,1.055,48,OI,2369/LH123HT,68,70,101,81,52
2369/LH123HT,4,261,1,174.58162,10.9534055,3/3/2017,OI,48_OI,0.962429,48,OI,2369/LH123HT,71,70,97,76,48
2369/LH123HT,4,257,1,170.4568362,10.69461291,3/3/2017,OI,48_OI,0.945089,48,OI,2369/LH123HT,68,69,,76,50
2369/LH123HT,5,281,1,180.7728814,11.34185072,3/3/2017,OI,48_OI,1.046,48,OI,2369/LH123HT,68,68,96,76,49
2369/LH123HT,5,285,1,162.3487719,10.18590577,3/3/2017,OI,48_OI,1.06658,48,OI,2369/LH123HT,67,69,98,70,46
2369/LH123HT,5,295,1,179.959428,11.29081393,3/3/2017,OI,48_OI,1.045,48,OI,2369/LH123HT,68,69,102,80,46
2369/LH123HT,5,307,1,182.899728,11.47529096,3/3/2017,OI,48_OI,0.90317,48,OI,2369/LH123HT,70,69,99,75,51
