Pedigree,Trial,Yield,CHM,NGRDI,CHM_48,CHM_63,CHM_70,CHM_73,CHM_82,CHM_98,CHM_112,NGRDI_48,NGRDI_63,NGRDI_70,NGRDI_73,NGRDI_82,NGRDI_98,NGRDI_112
2369/3IIH6,LP17,7.173179,1.80927961,0.060355656,1.079107796,2.118400859,2.029926395,2.095295376,2.021538598,1.830689233,1.632216084,0.120021409,0.110689712,0.074637371,0.063289664,0.018767158,0.018164354,0.014067083
2369/LH123HT,LP17,5.71291,1.910973618,0.062294483,1.194842222,2.31917575,2.190487881,2.216396941,2.052256193,1.918881502,1.612782658,0.11810554,0.106376732,0.08297073,0.066391682,0.02281037,0.022450633,0.017682494
2369/PHN82,LP17,5.748569,1.761508376,0.066479206,1.076954752,2.035010712,1.992637,2.01281466,1.913807089,1.803265185,1.590593129,0.127067359,0.117749974,0.086608496,0.071369996,0.027673107,0.027085921,0.0190157
2369/PHZ51,LP17,4.727594,1.851909172,0.061355183,1.116650608,2.174067857,2.074768064,2.121899706,1.987796662,1.890428502,1.724921651,0.118208236,0.110481462,0.077025543,0.064145768,0.022524635,0.022200332,0.013961486
B14A/H95,LP17,4.301582,1.767354985,0.066708505,1.075087091,2.065375053,1.991266692,2.041547402,1.907372233,1.850083778,1.54790556,0.128082789,0.116337861,0.08380198,0.070635526,0.031361551,0.030498961,0.01723685
B14A/MO17,LP17,5.670521,1.879687051,0.060301897,1.181030502,2.176171893,2.116797327,2.144771692,2.05029053,1.915733812,1.729147878,0.119527928,0.108086936,0.077240827,0.062374591,0.018571487,0.020267235,0.010899537
B14A/OH43,LP17,6.953219,1.848419953,0.06789042,1.174770763,2.163020966,2.050092767,2.092976262,1.998316993,1.911259993,1.699869431,0.128818181,0.115609045,0.086426334,0.070692264,0.033931737,0.034014725,0.020157228
B37/H95,LP17,4.19113,1.673567841,0.062471676,1.034934652,2.019143274,1.973632997,1.984344911,1.881517412,1.635174959,1.262954798,0.124920243,0.105698267,0.075848212,0.063272738,0.026109981,0.025992933,0.017271097
B37/MO17,LP17,6.046466,1.941869337,0.056598278,1.254018567,2.245948821,2.180103222,2.192181154,2.150775343,1.983250892,1.761877881,0.115256723,0.098323224,0.067454788,0.056532059,0.019225493,0.018789869,0.010020829
B37/OH43,LP17,6.610409,1.699662161,0.06057715,1.084110364,2.007246482,1.939584463,1.956303408,1.901612166,1.664931317,1.424774213,0.121845406,0.101349457,0.071664947,0.061322093,0.025987197,0.025542359,0.015322304
B73/MO17,LP17,6.83961,1.874511674,0.060226272,1.17648256,2.197481693,2.105303421,2.148295016,2.051377236,1.849676321,1.710688661,0.114665005,0.103755709,0.0745863,0.05876549,0.025073762,0.026014409,0.012234837
B73/PHM49,LP17,5.985669,1.839993156,0.061529144,1.112306609,2.127130972,2.096141392,2.114573203,1.976148964,1.84123196,1.720429605,0.118851041,0.114529931,0.077071916,0.065183104,0.020445597,0.020590663,0.015195055
B73/PHN82,LP17,4.975163,1.714132758,0.065633652,1.073849024,1.981002444,1.926223585,1.977996012,1.842472869,1.703887613,1.57847284,0.127039013,0.115567847,0.083884842,0.070398866,0.027000953,0.026477111,0.018833852
B73/PHZ51,LP17,4.808011,1.81587608,0.063304735,1.121400388,2.118815846,2.069465132,2.113692174,1.942297112,1.777440096,1.661565704,0.115021283,0.111607509,0.076211876,0.066622845,0.026646381,0.028028856,0.021887907
B73/TX6252,LP17,4.924142,1.752053391,0.060564133,1.066874714,2.049299781,2.010626388,2.049008216,1.936606618,1.712324572,1.531019304,0.114419385,0.107548227,0.073897091,0.059905333,0.026419233,0.027208681,0.014238987
B73/TX775,LP17,5.783123,1.875276997,0.062431598,1.110065812,2.157308989,2.121478728,2.179364987,2.117475713,1.899251192,1.693573873,0.119650618,0.107344972,0.074819246,0.060131407,0.027547568,0.027722364,0.022403512
B73/TX777,LP17,5.617415,1.927490095,0.063718371,1.110916711,2.237294103,2.233307053,2.235088897,2.115825528,1.952573635,1.754331613,0.117327685,0.113703552,0.078610761,0.065594048,0.026953323,0.027145959,0.020211046
B73/TX779,LP17,5.777727,1.878160333,0.064536962,1.142854109,2.174177533,2.124655831,2.165959327,2.02660003,1.882972229,1.757582384,0.119194766,0.113721943,0.07942644,0.065986092,0.02909476,0.028929833,0.020680026
B97/PHB47,LP17,3.752791,1.678992932,0.063197007,1.067076048,1.966448491,1.934594243,1.955684305,1.866854209,1.574257702,1.441895969,0.117723725,0.109707699,0.075077199,0.062692804,0.026011524,0.028188919,0.024759587
CG44/CGR01,LP17,5.382309,1.424628593,0.058599192,1.025716406,1.69827141,1.674382582,1.760668479,1.582381497,1.101934594,1.11393277,0.112391425,0.105786595,0.070028354,0.055624592,0.022846374,0.023804295,0.015348931
CG60/LH162,LP17,3.826545,1.370143447,0.05500099,0.933941135,1.624771322,1.588976392,1.618176497,1.462664688,1.168262712,1.14661427,0.108350834,0.096197564,0.066505836,0.051771861,0.016037394,0.017915162,0.010860098
CGR03/CG108,LP17,5.530552,1.610524914,0.059584899,1.101012883,1.834714846,1.804365465,1.877171739,1.726512202,1.587576481,1.397726413,0.116191906,0.106336214,0.072774388,0.057868472,0.020551375,0.023461509,0.013498142
DKB 64-69 (2016),LP17,9.168889,1.772142447,0.068216795,1.103789111,2.020010217,1.961371671,2.009278008,1.851302839,1.840346662,1.733555658,0.130098773,0.124656468,0.086362784,0.073992177,0.022527292,0.022517652,0.018581684
F42/H95,LP17,5.379321,1.802948895,0.063859979,1.097628096,2.156164314,2.10663212,2.104528223,2.035298989,1.720392396,1.513348391,0.126169262,0.115062688,0.080873397,0.067451724,0.021682478,0.021848215,0.020282394
F42/MO17,LP17,6.60871,1.881238398,0.061986773,1.208946733,2.196428631,2.133803928,2.159921134,2.047203955,1.880251248,1.66974917,0.118466557,0.106664312,0.074051811,0.05983199,0.028322487,0.028284028,0.020066711
