Pedigree,Trial,Yield,CHM,NGRDI,CHM_39,CHM_63,CHM_75,CHM_88,CHM_96,NGRDI_39,NGRDI_63,NGRDI_75,NGRDI_88,NGRDI_96
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B6-B7)/Tx779),LP19,8.137011,1.568294006,0.134697168,0.566525962,1.78284554,1.861810347,1.909386602,1.760050692,0.10457431,0.15067531,0.183893068,0.135379054,0.108927945
((((B104-1 x Tx714-B-B)-23-1-B-B-B-B/(CML288/NC300)-B-9-B1-B-B-B)-B-B-2-3-B-B-B-B-1-B11-B14-1)/Tx777),LP19,6.613036,1.455672496,0.134261828,0.496358344,1.646624373,1.730859692,1.769605171,1.638322461,0.103745172,0.156435642,0.197561448,0.137200765,0.093426713
((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B25-B8-B4-B/LH195 (ex-pvp),LP19,5.334978,1.339201571,0.123929839,0.471947689,1.510513535,1.558641712,1.629372073,1.507275752,0.096148993,0.141958565,0.173568059,0.119268981,0.087108015
(((CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-200-2-1-3-B13)/Tx777),LP19,6.541014,1.618382226,0.138957239,0.654314177,1.802436867,1.895759799,1.959567636,1.828538179,0.10310508,0.158162182,0.193604316,0.145639529,0.110333247
(((CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-23-3-1-1-B22)/Tx777),LP19,6.622814,1.423635167,0.142655712,0.455059683,1.585699258,1.697750835,1.758538406,1.625129597,0.106055849,0.169290824,0.215501677,0.142443952,0.10796777
(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B12-1-B25-B12)/TZAR106-B18),LP19,7.686932,1.689814204,0.137987862,0.650854529,1.878297078,1.992057505,2.052646347,1.935398158,0.113850802,0.160985115,0.18903651,0.137590609,0.110990937
(((LH195//Tx773)-B3-17-2-1-B6)/LH287RR2),LP19,5.799208,1.421411965,0.138692691,0.516128364,1.589163636,1.660266724,1.743333895,1.603370765,0.094331796,0.172108284,0.197985452,0.148628409,0.108821935
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B17-B25),LP19,5.820672,1.338400021,0.136835601,0.427396475,1.510172069,1.55434886,1.685384382,1.498099495,0.095005318,0.155661717,0.206627307,0.143833773,0.114946051
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/((B104-1 x Tx714-B-B)-23-1-B-B-B-B/(CML288/NC300)-B-9-B1-B-B-B)-B-B-1-1-B-B-B-B-1-B15-1-B21),LP19,6.743338,1.423208393,0.142742659,0.475774585,1.605156856,1.687722722,1.747879361,1.601116359,0.10660046,0.167924587,0.204738887,0.14666706,0.117020591
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/((CML285/B104)-B-4-B-B-B-B-B-B/LAMA2002-58-3-B-B-B)-B-2-B-B-2-B16-B11-B5-B10),LP19,5.872638,1.461092383,0.142842595,0.534564659,1.651727112,1.699783943,1.790716914,1.637376613,0.111830969,0.169994242,0.196509682,0.153293174,0.116518803
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/Tx779),LP19,8.338799,1.344815656,0.13791213,0.444588413,1.556303944,1.542082967,1.667122636,1.499570198,0.105620214,0.163661278,0.183729222,0.144712234,0.115338362
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26)/TZAR106-B18),LP19,6.749634,1.606625327,0.140793069,0.58469782,1.825327387,1.871559913,1.962296297,1.832925157,0.114898894,0.169050362,0.189291023,0.13939356,0.124388259
(((Red Hybrid Ear-B-1-2-2-1/Red Ear 5-2-4-1-4-2)-B-B-1-B-1-B21-B18-B5)/Tx777),LP19,7.691738,1.75775775,0.136756966,0.760027346,1.945753162,2.055229771,2.127702684,1.979487244,0.115733256,0.158135595,0.177404635,0.136606112,0.098910481
(((Tx772/Mp313E)//(Tx740/Mp715)-#-#-(DELAWARE)016#-30-1-1-1-1)/LH195-B11-B13),LP19,6.006846,1.61627012,0.128448868,0.586643738,1.818596193,1.907039995,1.958542745,1.856436684,0.094631897,0.146929018,0.17189794,0.127703739,0.106996231
